"Departamento","Municipio","Operadora","Contrato","Campo","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto"
"ANTIOQUIA","PUERTO NARE","ECOPETROL S.A.","TECA COCORNA","AREA TECA-COCORNA",1766,1689,1827,1538,1239,1049,976,949
"ANTIOQUIA","PUERTO TRIUNFO","ECOPETROL S.A.","TECA COCORNA","AREA TECA-COCORNA",120,118,82,0,0,0,14,104
"ANTIOQUIA","YONDO","ECOPETROL S.A.","MAGDALENA MEDIO","CASABE",11637,11584,11488,10712,9483,9403,9599,9528
"ANTIOQUIA","YONDO","ECOPETROL S.A.","MAGDALENA MEDIO","CASABE SUR",1853,1763,1832,1838,1539,1542,1573,1515
"ANTIOQUIA","PUERTO NARE","MANSAROVAR ENERGY COLOMBIA LTD","NARE","NARE SUR",187,185,174,191,194,167,169,152
"ANTIOQUIA","YONDO","ECOPETROL S.A.","MAGDALENA MEDIO","PE—AS BLANCAS",1192,1120,1092,1109,1040,1057,1055,953
"ANTIOQUIA","PUERTO NARE","MANSAROVAR ENERGY COLOMBIA LTD","NARE","UNDERRIVER",646,626,632,662,570,444,546,524
"ARAUCA","TAME","PAREX RESOURCES COLOMBIA LTD. SUCURSAL","CAPACHOS","ANDINA",2163,5304,6826,6705,3300,2994,3046,3082
"ARAUCA","ARAUQUITA","OCCIDENTAL DE COLOMBIA LLC","CHIPIRON","ARAGUATO",61,61,61,61,59,55,55,54
"ARAUCA","ARAUQUITA","OCCIDENTAL DE COLOMBIA LLC","CHIPIRON","BAYONERO",358,317,264,233,224,215,217,214
"ARAUCA","ARAUQUITA","OCCIDENTAL DE COLOMBIA LLC","COSECHA","CANAGUEY",1092,975,997,1101,1046,1013,984,980
"ARAUCA","ARAUCA","OCCIDENTAL DE COLOMBIA LLC","CRAVO NORTE","CA—O LIMON",20370,20604,20789,20137,20284,20238,20358,20210
"ARAUCA","ARAUQUITA","OCCIDENTAL DE COLOMBIA LLC","CRAVO NORTE","CA—O LIMON",726,747,713,571,591,655,656,675
"ARAUCA","ARAUQUITA","OCCIDENTAL DE COLOMBIA LLC","RONDON","CA—O RONDON",2827,2567,2390,2265,2182,2390,2542,2230
"ARAUCA","ARAUCA","OCCIDENTAL DE COLOMBIA LLC","CRAVO NORTE","CA—O YARUMAL",3081,3717,3537,2438,2649,3095,2918,2937
"ARAUCA","TAME","PAREX RESOURCES COLOMBIA LTD. SUCURSAL","CAPACHOS","CAPACHOS",984,1623,1722,1601,1628,1939,1913,1862
"ARAUCA","ARAUQUITA","OCCIDENTAL DE COLOMBIA LLC","RONDON","CARICARE",3295,2870,2805,2427,2715,2928,2904,3058
"ARAUCA","ARAUCA","OCCIDENTAL DE COLOMBIA LLC","CHIPIRON","CHIPIRON",5400,5166,4893,4473,5042,731,4991,675
"ARAUCA","ARAUQUITA","OCCIDENTAL DE COLOMBIA LLC","CHIPIRON","CHIPIRON",89,90,89,87,76,4165,71,4164
"ARAUCA","ARAUQUITA","OCCIDENTAL DE COLOMBIA LLC","COSECHA","FINN",3229,2761,2768,2505,2287,2074,1374,564
"ARAUCA","ARAUCA","OCCIDENTAL DE COLOMBIA LLC","CHIPIRON","GALEMBO",106,105,104,99,91,82,82,64
